title,slug,subtitle,location,state,region,category,platform,price,rating,reviewCount,sleeps,bedrooms,featured,editorsPick,isNew,imageUrl,affiliateUrl,description
"Tiny Home on the Great River Road","great-river-tiny-wi","Mississippi River views from a unique Wisconsin tiny home","Bay City, Wisconsin","Wisconsin","Midwest",8,"VRBO",165,4.89,67,2,1,false,false,false,"https://media.vrbo.com/lodging/121000000/120520000/120519700/120519634/2ba6a3ed.jpg","https://www.vrbo.com/1217859044","A unique tiny home on Wisconsin's Great River Road with sweeping Mississippi River views in Bay City. One of America's most scenic byways outside your window — bluffs, river towns, and the kind of peaceful that comes with watching a great river flow."
"Postcard Cabins Hocking Hills","postcard-hocking-hills-oh","Tiny cabin among Ohio's ancient caves and gorges","Logan, Ohio","Ohio","Midwest",8,"Direct",179,4.8,,2,1,false,false,false,"https://cache.marriott.com/is/image/marriotts7prod/oc-cmhhh-cabin-exterior-26962:Wide-Hor","https://postcardcabins.com/hocking-hills/","Postcard Cabins in Ohio's spectacular Hocking Hills — modern tiny cabins minutes from Old Man's Cave, Ash Cave, and Cedar Falls. Queen bed, kitchenette, outdoor fireplace, and sandstone gorge hiking on your doorstep."
"Little Hideaway in the Michigan Woods","lakewoods-tiny-sawyer-mi","Cozy tiny house steps from Lake Michigan's sandy shores","Sawyer, Michigan","Michigan","Midwest",8,"VRBO",175,4.87,134,2,1,false,false,false,"https://media.vrbo.com/lodging/34000000/33510000/33503500/33503500/e0390588.jpg","https://www.vrbo.com/322768","A perfect little hideaway in the Michigan woods near Sawyer — a romantic tiny house retreat steps from Lake Michigan's famous Harbor Country beaches. Private, wooded, and exactly the right size for two."
"Postcard Cabins Piney Woods","postcard-piney-woods-tx","Tiny forest cabin in the East Texas Piney Woods near Dallas","Ore City, Texas","Texas","South",8,"Direct",179,4.8,,2,1,false,false,false,"https://cache.marriott.com/is/image/marriotts7prod/oc-tyrpw--jacksonville-postcard-ca-39928:Wide-Hor","https://postcardcabins.com/piney-woods/","Postcard Cabins in the towering East Texas Piney Woods — a cluster of custom tiny cabins just outside Dallas that let urbanites trade concrete for longleaf pines. Fire pit, private bath, and the first real silence you've had in months."
"Historic Tiny House on Main Street","historic-tiny-eureka-springs-ar","Century-old Victorian tiny home in quirky Eureka Springs","Eureka Springs, Arkansas","Arkansas","South",8,"VRBO",145,4.85,112,2,1,false,false,false,"https://media.vrbo.com/lodging/65000000/64130000/64123300/64123256/69a1221b.jpg","https://www.vrbo.com/2195717","A charming historic tiny house right on Main Street in beloved Eureka Springs, Arkansas — the Victorian hill town hidden in the Ozarks. Walk to galleries, restaurants, and healing springs from a property that feels like a dollhouse come to life."
"The Ark Tiny House near Zion","ark-tiny-zion-ut","Modern tiny home with hot tub 20 minutes from Zion","Virgin, Utah","Utah","Southwest",8,"VRBO",195,4.91,187,3,1,false,false,false,"https://media.vrbo.com/lodging/40000000/39040000/39036500/39036486/5cc6fc3e.jpg","https://www.vrbo.com/1713114","The Ark is a beautifully designed tiny house in Virgin, Utah with a hot tub, fire pit, and access to 75 private acres — just 20 minutes from Zion National Park's entrance. Bay window views, reverse osmosis water, and the full Zion experience."
"Postcard Cabins Big Bear","postcard-big-bear-ca","Tiny mountain cabin above Los Angeles in Big Bear","Big Bear Lake, California","California","West",8,"Direct",219,4.8,,2,1,false,false,false,"https://cache.marriott.com/is/image/marriotts7prod/oc-ontbb-exterior-6-38702:Wide-Hor","https://postcardcabins.com/big-bear/","Postcard Cabins in the San Bernardino Mountains just 2 hours from LA — a cluster of custom tiny cabins in Big Bear forest designed for total disconnection. Snow-capped peaks in winter, cool pines in summer."
"Postcard Cabins Mount Adams","postcard-mount-adams-wa","Tiny forest cabin under the shadow of Mt. Adams","White Salmon, Washington","Washington","West",8,"Direct",189,4.8,,2,1,false,false,false,"https://media-cdn.tripadvisor.com/media/photo-s/33/29/05/e6/table-outside-cabin.jpg","https://postcardcabins.com/mount-adams/","Postcard Cabins' Mt. Adams outpost — custom-built tiny cabins in the shadow of Mount Adams, perfectly positioned between Portland and Yakima wine country. Queen bed, kitchenette, fire pit, and deliberately no TVs."
"The Gypsy Getaway — Nederland","gypsy-getaway-nederland-co","Whimsical tiny house retreat above Boulder in the Rockies","Nederland, Colorado","Colorado","West",8,"Airbnb",125,4.88,142,2,1,false,false,false,"https://a0.muscache.com/im/pictures/miso/Hosting-13685226/original/760e63d0-9251-4752-bae3-770140581977.jpeg","https://www.airbnb.com/rooms/13685226","A whimsical tiny house getaway in Nederland, Colorado — the quirky mountain town perched above Boulder at 8,200 feet. Bohemian decor, crisp mountain air, and easy access to hiking, skiing, and the legendary Frozen Dead Guy Days."
"Mt. Hood View Tiny House","mt-hood-tiny-or","Panoramic volcano views on 23 private Oregon acres","Sandy, Oregon","Oregon","West",8,"Airbnb",175,4.93,178,3,1,false,false,false,"https://a0.muscache.com/im/pictures/a15ea724-1d2e-43f2-90cc-0862806c2c9c.jpg","https://www.airbnb.com/rooms/20442314","A private tiny house on 23 acres with sweeping Mt. Hood views, just one mile from Highway 26 in Sandy, Oregon. A quiet retreat between Portland and the mountain — ski in winter, hike in summer, stargaze year-round."
"The Silos at Promise Manor","silos-promise-manor-tn","Converted grain silos on a farm near Jack Daniel's Distillery","Lynchburg, Tennessee","Tennessee","Southeast",5,"Airbnb",225,4.92,58,4,2,false,false,false,"https://a0.muscache.com/im/pictures/miso/Hosting-894839579448715543/original/481a86cc-711a-4e86-880b-7109ceeaae4d.jpeg","https://www.airbnb.com/rooms/894839579448715543","Twin converted 60-year-old grain silos on Promise Manor farm in Lynchburg, Tennessee — ground zero for Tennessee whiskey country. Two bedrooms of circular character, a working farm backdrop, and Jack Daniel's Distillery just down the road."
"Round Retreat — Converted Grain Bin","grain-bin-mount-juliet-tn","Secluded circular silo stay near Nashville","Mount Juliet, Tennessee","Tennessee","Southeast",5,"Airbnb",165,4.88,112,2,1,false,false,false,"https://a0.muscache.com/im/pictures/b5f0d2a8-69e7-4984-80df-986cea2a1cfd.jpg","https://www.airbnb.com/rooms/42860770","A charming converted grain bin silo just east of Nashville — a perfectly circular retreat for two with a cozy interior, wraparound character, and easy access to Music City's dining and entertainment scene."
"The Silo at Gene Acres","gene-acres-silo-ga","Modern grain silo stay near Chickamauga battlefield","Chickamauga, Georgia","Georgia","Southeast",5,"Airbnb",195,4.91,73,4,1,false,false,false,"https://a0.muscache.com/im/pictures/prohost-api/Hosting-588821618757430348/original/8b17d12c-8cf5-4586-97b7-663404ef0d10.jpeg","https://www.airbnb.com/rooms/588821618757430348","A rustic yet modern 27-foot grain silo on Gene Acres — a 20-acre farm less than 2 miles from Chickamauga National Military Park and 20 minutes from Chattanooga. King loft, murphy queen, farm life, and big sky."
"Silo Barn OASIS — Swim Pond & Trails","silo-oasis-louisa-va","Converted silo with swimming pond on Virginia Piedmont acres","Louisa, Virginia","Virginia","Southeast",5,"Airbnb",175,4.94,41,2,1,false,false,false,"https://a0.muscache.com/im/pictures/prohost-api/Hosting-902002019078580027/original/6d85c692-ecf3-4fa2-bff0-9d4feb338340.jpeg","https://www.airbnb.com/rooms/902002019078580027","A unique silo barn OASIS in the Virginia Piedmont with a private swim pond and 5 miles of trails — an extraordinary combination of agricultural architecture and natural paradise just 90 minutes from DC."
"Finally Home Farm Bed and Barn","southern-pines-barn-nc","Private converted barn cottage on a Sandhills farm","Southern Pines, North Carolina","North Carolina","Southeast",5,"Airbnb",155,4.93,88,2,1,false,false,false,"https://a0.muscache.com/im/pictures/8c757a8e-ade9-4dd4-bef1-04f693d00437.jpg","https://www.airbnb.com/rooms/53941605","A private 1-bedroom barn cottage on a peaceful Sandhills farm 2 miles from downtown Southern Pines. Horses graze the pasture, golf abounds at nearby Pinehurst, and the barn's quiet charm makes every evening feel like a restoration."
"Converted Historic Newport Firehouse","newport-firehouse-ri","Luxurious firehouse conversion in Gilded Age Newport","Newport, Rhode Island","Rhode Island","Northeast",5,"VRBO",595,4.91,34,12,6,false,false,false,"https://media.vrbo.com/lodging/70000000/69240000/69239700/69239625/32d70ca0.jpg","https://www.vrbo.com/7468225ha","A converted historic firehouse in Newport, Rhode Island with luxurious finishes and grand proportions. Six bedrooms of architectural character steps from Newport's legendary Cliff Walk, Bellevue Avenue mansions, and the Atlantic waterfront."
"Converted One-Room Brick Schoolhouse","brick-schoolhouse-ny","Charmingly restored 19th-century schoolhouse on Lake Erie","Westfield, New York","New York","Northeast",5,"VRBO",150,4.84,142,4,1,false,false,false,"https://media.vrbo.com/lodging/69000000/68290000/68282700/68282633/f7dd6118.jpg","https://www.vrbo.com/385025","A charmingly restored one-room brick schoolhouse in Chautauqua County near Lake Erie — the original 19th-century classroom reborn as an intimate two-person escape with a loft and 1.5 baths. Grape country, lake walks, and total quiet."
"Converted Church in the Pennsylvania Countryside","centre-county-church-pa","Country church beautifully reimagined for modern stays","Millheim, Pennsylvania","Pennsylvania","Northeast",5,"VRBO",185,4.86,108,10,3,false,false,false,"https://media.vrbo.com/lodging/37000000/36890000/36880700/36880639/c53f4b28.jpg","https://www.vrbo.com/4643551ha","A beautifully renovated country church in Pennsylvania's serene Penn Valley near Centre County — three bedrooms, internet, fireplace, and washer/dryer inside original stone walls. A pastoral escape near Penn State and Bald Eagle State Forest."
"Barn & Silo Retreat on 300 Private Acres","morristown-barn-silo-vt","Converted Shaker barn estate 15 minutes from Stowe","Morristown, Vermont","Vermont","Northeast",5,"Airbnb",395,4.95,167,8,3,false,false,false,"https://a0.muscache.com/im/pictures/fe7217ff-0b24-438d-880d-b94722c75bf5.jpg","https://www.airbnb.com/rooms/20524559","A stunning converted barn and silo estate on 300 private Vermont acres, just 15 minutes from Stowe. Three bedrooms, a resident treehouse, spring-fed pond, and the kind of pastoral grandeur that makes you forget the outside world exists."
"The Farmhouse at White Birch Barn","white-birch-barn-oh","Renovated 1930s farmhouse bungalow on a working Ohio farm","Medina, Ohio","Ohio","Midwest",5,"Airbnb",225,4.92,47,6,3,false,false,false,"https://a0.muscache.com/im/pictures/miso/Hosting-1127494099286828043/original/d5cbcb10-657a-4aa0-8c7f-4c943784b426.jpeg","https://www.airbnb.com/rooms/1127494099286828043","A beautifully renovated 1930s farmhouse bungalow on the White Birch farm in Medina County, Ohio — peaceful countryside just 30 miles from Cleveland. Original character meets thoughtful updates in this quintessential Midwest farm escape."
"Blue Barn Farm Stay","blue-barn-oostburg-wi","Charming converted barn on a Lake Michigan coastal farm","Oostburg, Wisconsin","Wisconsin","Midwest",5,"Airbnb",185,4.87,134,6,2,false,false,false,"https://a0.muscache.com/im/pictures/hosting/Hosting-32957743/original/82fd85c6-1830-4f06-bede-e274d8d6a024.jpeg","https://www.airbnb.com/rooms/32957743","A charming converted blue barn on a working farm minutes from Wisconsin's Lake Michigan shore. Farm life, crisp lake air, and Sheboygan county's cheese trails — a low-key Midwest getaway that delivers on every level."
"Home 'n Barn — Grandpa George's Dairy","grandpa-george-barn-mi","Family dairy barn from 1956 reimagined as a lakeside stay","Bay Port, Michigan","Michigan","Midwest",5,"Airbnb",285,5,10,8,4,false,false,false,"https://a0.muscache.com/im/pictures/miso/Hosting-627414986077211729/original/90b2cfe8-7298-4e31-a13a-acbad9bf8482.jpeg","https://www.airbnb.com/rooms/627414986077211729","Grandpa George's 1956 dairy barn on the shores of Saginaw Bay, reimagined as a warm and wonderfully unique family retreat. Four bedrooms, farm relics as décor, and a perfect 5-star rating from every guest who's stayed."
"The Barn — North Woods Wisconsin","cable-barn-wi","Rustic-luxe barn on 30 acres near Hayward Lakes","Cable, Wisconsin","Wisconsin","Midwest",5,"Airbnb",265,4.94,52,7,3,false,false,false,"https://a0.muscache.com/im/pictures/prohost-api/Hosting-845626637702360276/original/f7ba17c4-665d-4743-bd55-b029d878425e.jpeg","https://www.airbnb.com/rooms/845626637702360276","A unique barn retreat on 30 private acres in Wisconsin's North Woods, just outside Cable near the Hayward Lakes. Three cozy bedrooms, a sunlit living space, and private hiking trails through old-growth forest."
"Converted 1830 Church in the Ozarks","ozarks-church-harrison-ar","Newly renovated historic church in the Arkansas Ozarks","Harrison, Arkansas","Arkansas","South",5,"VRBO",195,4.82,63,6,3,false,false,false,"https://media.vrbo.com/lodging/126000000/125550000/125545000/125544943/134b7d4c.jpg","https://www.vrbo.com/2547578","A newly renovated 1830-era church in Harrison, Arkansas — gateway to the Buffalo National River and the scenic Ozark highlands. Original stained glass, repurposed pews, and a surprisingly comfortable open-plan conversion."
"Silo at the Medina River","medina-river-silo-tx","Converted grain silo on the Texas Hill Country river","Rio Medina, Texas","Texas","South",5,"Airbnb",165,4.89,76,2,1,false,false,false,"https://a0.muscache.com/im/pictures/cf50c0a8-09f8-4438-9e2d-4aeae7a75d7e.jpg","https://www.airbnb.com/rooms/48645643","A converted grain silo perched on the Medina River in the Texas Hill Country — just 30 minutes from San Antonio. Swim in the river, watch deer at dusk, and sleep in one of the most unusual rooms in Texas."
"The Silo — Bitterroot Valley Views","silo-bitterroot-mt","Converted grain silo with panoramic Montana mountain views","Corvallis, Montana","Montana","West",5,"Airbnb",175,4.96,87,3,1,false,false,false,"https://a0.muscache.com/im/pictures/4567d586-4d36-4290-b590-a106b4f89ca4.jpg","https://www.airbnb.com/rooms/37498045","A converted grain silo in Montana's stunning Bitterroot Valley with panoramic mountain views and dog-friendly acres to explore. Circular rooms, cozy quirk, and big sky country right outside the door."
"Modern Luxury in a Converted Church","converted-church-denver-co","Mission-style church transformed into a design-forward home","Denver, Colorado","Colorado","West",5,"Airbnb",295,4.91,209,6,2,false,false,false,"https://a0.muscache.com/im/pictures/4bd1db8f-684a-4791-918b-b0537e98aff7.jpg","https://www.airbnb.com/rooms/8800911","A 100-year-old Mission-style church transformed into a modern luxury stay in Denver, complete with a bonus tiny house on the grounds. Stained glass, soaring nave ceilings, and artful design — this is architecture as hospitality."
"Rustic Silo at the Tree Farm","treefarm-silo-lapine-or","Off-grid silo stay between Crater Lake and Bend","La Pine, Oregon","Oregon","West",5,"Airbnb",155,4.88,143,2,1,false,false,false,"https://a0.muscache.com/im/pictures/miso/Hosting-5849481/original/f71b1f0a-2564-4f5a-991f-db4f7406b73c.jpeg","https://www.airbnb.com/rooms/5849481","A rustic converted farm silo on a working tree farm in La Pine, Oregon — halfway between Crater Lake and Bend. Cozy circular living with Starlink WiFi, surrounded by ponderosa pines and high desert silence."
"The Hansville Schoolhouse","hansville-schoolhouse-wa","Restored one-room schoolhouse on the Kitsap Peninsula","Hansville, Washington","Washington","West",5,"VRBO",245,4.93,118,6,3,false,false,false,"https://media.vrbo.com/lodging/113000000/112080000/112077900/112077896/e82a307d.jpg","https://www.vrbo.com/4375507","A beautifully restored historic schoolhouse on the quiet north tip of Washington's Kitsap Peninsula. Soaring ceilings, original woodwork, and a serene waterfront location — the perfect base for Puget Sound kayaking and Hood Canal oyster runs."
"Big Horn Country Converted Schoolhouse","bighorn-schoolhouse-wy","Historic schoolhouse with hot tub and mountain views","Sheridan, Wyoming","Wyoming","West",5,"VRBO",185,4.87,94,8,2,false,false,false,"https://media.vrbo.com/lodging/113000000/112770000/112769100/112769058/24ad309b.jpg","https://www.vrbo.com/4025884ha","A thoughtfully converted historic schoolhouse in Wyoming's Big Horn Country with a hot tub and sweeping mountain views. Original character preserved throughout — exposed timber, chalkboards, and schoolhouse charm meet modern comfort."
"Dome of Your Dreams — Shenandoah Valley","shenandoah-dome-wv","Architectural dome home with Shenandoah River views","Harpers Ferry, West Virginia","West Virginia","Southeast",2,"VRBO",350,4.86,129,8,3,false,false,false,"https://images.trvl-media.com/lodging/34000000/33500000/33490100/33490051/d88e49c4.jpg","https://www.vrbo.com/563758","A dream geodesic dome home with sweeping Shenandoah River views near legendary Harpers Ferry. Three bedrooms of curved architectural wonder, surrounded by Civil War history, world-class whitewater, and the confluence of two great rivers."
"Luxury Glamping Dome in the Tennessee Highlands","grundy-dome-tn","Designer dome with forest views on the Cumberland Plateau","Gruetli-Laager, Tennessee","Tennessee","Southeast",2,"VRBO",195,4.89,61,4,1,false,false,false,"https://media.vrbo.com/lodging/90000000/90000000/89990600/89990591/37a4e0e7.jpg","https://www.vrbo.com/2066290","A luxury geodesic glamping dome on Tennessee's stunning Cumberland Plateau in Grundy County. High-design furnishings, forest panoramas, and proximity to Fall Creek Falls and South Cumberland's dramatic waterfall trails."
"Mountain Dome with Trout Stream","deep-gap-dome-nc","Glamping dome on a private Blue Ridge trout stream","Deep Gap, North Carolina","North Carolina","Southeast",2,"VRBO",165,4.92,83,2,1,false,false,false,"https://images.trvl-media.com/lodging/72000000/71110000/71108300/71108201/4413c0da.jpg","https://www.vrbo.com/1746200","A private geodesic glamping dome above a rushing trout stream in the Blue Ridge Mountains near Deep Gap, NC. Complete privacy, campfire included, and Appalachian Trail access — mountain solitude in its most elemental form."
"The Pearl — Geodesic Dome with Pool","pearl-dome-lecanto-fl","Poolside dome retreat on Florida's Nature Coast","Lecanto, Florida","Florida","Southeast",2,"Airbnb",245,4.94,56,4,2,false,false,false,"https://a0.muscache.com/im/pictures/hosting/Hosting-U3RheVN1cHBseUxpc3Rpbmc6MTIzNzEzMTc2MDUyMTg2OTIxNA%3D%3D/original/d444d185-22f8-47fc-94ee-3bab4f887827.jpeg","https://www.airbnb.com/rooms/1237131760521869214","The Pearl is a stunning geodesic dome on Florida's Nature Coast featuring a private pool, firepit, and wraparound deck. Modern dome architecture meets tropical Florida living, minutes from Crystal River's famous manatee encounters."
"Vermont Geodesic Glamping Dome","geodome-vernon-vt","Intimate glamping dome in the Green Mountains","Vernon, Vermont","Vermont","Northeast",2,"VRBO",175,4.91,48,2,1,false,false,false,"https://media.vrbo.com/lodging/97000000/96770000/96762400/96762304/e1b89a0d.jpg","https://www.vrbo.com/3560397","A cozy geodesic glamping dome tucked into the Vermont countryside near the Connecticut River Valley. Intimate and romantically designed with Green Mountain views — a true escape from the ordinary in the heart of New England."
"Outlier Inn — Catskills Farm Dome","outlier-inn-dome-ny","Large geodesic dome on a working Catskills farm","Woodridge, New York","New York","Northeast",2,"Airbnb",225,4.87,215,4,2,false,false,false,"https://a0.muscache.com/im/pictures/hosting/Hosting-U3RheVN1cHBseUxpc3Rpbmc6MTYwMjkzMg==/original/1e494105-1f88-4589-a48f-8206577a5b9a.jpeg","https://www.airbnb.com/rooms/1602932","Outlier Inn's standout geodesic dome perched on a working Catskills farm with panoramic mountain views. A genuine Pacific Dome structure with two bedrooms, farm-fresh surroundings, and easy access to hiking and swimming holes."
"Geodesic Dome in the Connecticut Woods","woodland-dome-bethlehem-ct","Magical forest dome in the Litchfield Hills","Bethlehem, Connecticut","Connecticut","Northeast",2,"Airbnb",195,4.85,167,4,2,false,false,false,"https://a0.muscache.com/im/pictures/13507508/edc9eb7f_original.jpg","https://www.airbnb.com/rooms/662409","A magical geodesic dome nestled in the Connecticut woods in the heart of the scenic Litchfield Hills. Two bedrooms, soaring dome ceilings, and a serene forest setting just 90 minutes from New York City."
"Bunny Bungalow Geodome Retreat","bunny-bungalow-dome-oh","Secluded romantic geodome near Wayne National Forest","New Lexington, Ohio","Ohio","Midwest",2,"VRBO",165,4.88,71,2,1,false,false,false,"https://media.vrbo.com/lodging/114000000/113300000/113291400/113291399/46f00793.jpg","https://www.vrbo.com/3635961","A spacious and romantic geodome getaway tucked into Perry County's rolling hills near Wayne National Forest. Cozy curved walls, private wooded setting, and all the charm of rural Ohio in an unexpected architectural form."
"The Penguin — Igloo Vibes in Hocking Hills","hocking-hills-dome-oh","Hot tub geodome with game barn in Ohio cave country","Sugar Grove, Ohio","Ohio","Midwest",2,"VRBO",225,4.9,124,4,2,false,false,false,"https://images.trvl-media.com/lodging/103000000/102480000/102477600/102477570/a9e0199a.jpg","https://www.vrbo.com/2277115","The Penguin brings igloo vibes to the heart of Ohio's Hocking Hills — a geodesic dome with a hot tub overlooking the forest plus a fully loaded game barn with pool, shuffleboard, and foosball. Caves and waterfalls minutes away."
"The Nord Star — Dome on Lake Superior","lake-superior-dome-mn","200 feet of private shoreline on the Great Lake","Two Harbors, Minnesota","Minnesota","Midwest",2,"Airbnb",350,4.97,38,6,3,false,false,false,"https://a0.muscache.com/im/pictures/miso/Hosting-1380772433553255971/original/9c85fedc-05f3-4a2f-8a55-a257c3f00445.jpeg","https://www.airbnb.com/rooms/1380772433553255971","The Nord Star — a 2,800 sq ft geodesic dome with 200 feet of private Lake Superior shoreline. Dramatic water views, agate beaches, and the wild North Shore of Minnesota make this an unforgettable Great Lakes getaway."
"8,000 Sq Ft Geodesic Dome Estate","eden-prairie-dome-mn","The most magical dome vacation home in Minnesota","Eden Prairie, Minnesota","Minnesota","Midwest",2,"VRBO",450,4.93,201,12,4,false,false,false,"https://media.vrbo.com/lodging/30000000/29490000/29485700/29485683/1dccb4bc.jpg","https://www.vrbo.com/4525303ha","An extraordinary 8,000-square-foot geodesic dome estate on the beach in Eden Prairie, minutes from Minneapolis. Four bedrooms, multiple dome structures, lakefront access — an experience so unique guests return year after year."
"Boho Geodesic Dome near Big Bend","boho-dome-terlingua-tx","Artisan dome nestled against Big Bend National Park","Terlingua, Texas","Texas","South",2,"VRBO",185,4.88,52,4,2,false,false,false,"https://media.vrbo.com/lodging/106000000/105820000/105814300/105814286/cc5e5616.jpg","https://www.vrbo.com/4038225","A southern boho-inspired geodesic dome nestled right up against Big Bend National Park in legendary Terlingua. Handcrafted interiors, desert garden, and the vast Chihuahuan sky overhead — off-grid meets artisanal comfort."
"Luxury Glamping Dome Near Big Bend","big-bend-dome-alpine-tx","Stargazing dome on the edge of West Texas wilderness","Alpine, Texas","Texas","South",2,"Airbnb",195,4.95,43,2,1,false,false,false,"https://a0.muscache.com/im/pictures/hosting/Hosting-U3RheVN1cHBseUxpc3Rpbmc6NTgyMDcwNzMxOTE3MzkwMTA3/original/95b46b9c-2fd6-4f68-99c2-c609129e78b1.jpeg","https://www.airbnb.com/rooms/582070731917390107","A luxury glamping dome 30 minutes from Big Bend National Park in the heart of West Texas dark sky country. Plush furnishings, panoramic desert views, and some of the clearest night skies in North America."
"Geodome Retreat Near Lake Travis","lake-travis-dome-tx","Tri-level renovated geodome in the Texas Hill Country","Leander, Texas","Texas","South",2,"Airbnb",250,4.82,89,6,3,false,false,false,"https://a0.muscache.com/im/pictures/6b6f3832-a666-460a-8a80-cf10444bc062.jpg","https://www.airbnb.com/rooms/45691321","A fully renovated tri-level geodome on a private road near Lake Travis and the Texas Hill Country. Three spacious levels of curved architecture with modern finishes, minutes from the lake, wine country, and Austin."
"The Dome on the Range","dome-range-phoenix-az","Sweeping mountain preserve views from a striking dome","Phoenix, Arizona","Arizona","Southwest",2,"Airbnb",295,4.87,176,6,3,false,false,false,"https://a0.muscache.com/im/pictures/monet/Select-23583843/original/30ecfe9b-f008-4a4f-9c5c-a2db092e6b70","https://www.airbnb.com/rooms/23583843","A striking geodesic dome home with sweeping views of the Phoenix Mountain Preserve. Three bedrooms, desert-contemporary design, and direct trail access to some of Phoenix's most dramatic hiking."
"Geodesic Earth Dome Near Taos","taos-earth-dome-nm","Adobe-style earth dome in the New Mexico high desert","El Prado, New Mexico","New Mexico","Southwest",2,"Airbnb",175,4.91,134,4,2,false,false,false,"https://a0.muscache.com/im/pictures/hosting/Hosting-1520648/original/101a3ed1-ba01-449b-8b94-ee6dd1a008cc.jpeg","https://www.airbnb.com/rooms/1520648","A charming light-filled geodesic earth dome embodying the unusual architecture Taos is famous for. Natural plasters, adobe details, and a prime El Prado location minutes from Taos Pueblo, Rio Grande Gorge, and world-class skiing."
"Summit County Geodesic Dome at 9,200 Feet","rockies-dome-wildernest-co","High-altitude dome cabin above the Colorado treeline","Silverthorne, Colorado","Colorado","West",2,"VRBO",225,4.85,87,6,2,false,false,false,"https://media.vrbo.com/lodging/19000000/18980000/18978000/18977905/de8c76f4.jpg","https://www.vrbo.com/644256","A one-of-a-kind geodesic dome cabin perched at 9,200 feet in the Colorado Rockies within the Wildernest community. Minutes from world-class skiing at Keystone and Breckenridge with breathtaking alpine views."
"Geo Dome in the Sierras","sierra-dome-arnold-ca","Beautiful dome home amid Sierra Nevada forest","Arnold, California","California","West",2,"VRBO",250,4.88,113,6,2,false,false,false,"https://media.vrbo.com/lodging/93000000/92860000/92858500/92858414/1cc22547.jpg","https://www.vrbo.com/1278523","A truly beautiful geodesic dome home nestled in Sierra Nevada forest with hiking trails from the front door. Two full baths, a fully equipped kitchen, king master suite, and stunning curved architecture throughout."
"Off-Grid Geodesic Dome with Views","nevada-city-dome-ca","Solar-powered dome in the Gold Country foothills","Nevada City, California","California","West",2,"Airbnb",195,4.93,54,3,1,false,false,false,"https://a0.muscache.com/im/pictures/fe7217ff-0b24-438d-880d-b94722c75bf5.jpg","https://www.airbnb.com/rooms/869404143773279174","A self-sufficient solar-powered geodesic dome with panoramic foothills views near charming Nevada City. Off-grid living with modern comforts — Sierra Nevada hiking, swimming holes, and Gold Rush history minutes away."
"Geodesic Dome + Forest Sauna","sequim-dome-wa","Off-grid dome with forest sauna near Olympic Peninsula","Sequim, Washington","Washington","West",2,"Airbnb",195,4.96,67,2,1,false,false,false,"https://a0.muscache.com/im/pictures/827c663b-9644-424f-8429-9d4adb2f6c41.jpg","https://www.airbnb.com/rooms/1016821362329735688","An architectural geodesic dome paired with a traditional forest sauna bathing experience on the Olympic Peninsula. Wildflower meadows, Dungeness Spit, and Pacific wilderness at your doorstep."
"San Juan Island Geodesic Dome","friday-harbor-dome-wa","Secluded dome with hot tub on San Juan Island","Friday Harbor, Washington","Washington","West",2,"Airbnb",275,4.92,98,4,2,false,false,false,"https://a0.muscache.com/im/pictures/hosting/Hosting-50758232/original/cdc6d849-525e-4712-a157-1b393732c56d.jpeg","https://www.airbnb.com/rooms/50758232","Unique and secluded geodesic dome perched on beautiful San Juan Island with private hot tub and sweeping views. Perfect base for whale watching, kayaking, and exploring the island's lavender farms and art scene."
"Dome Sweet Dome","dome-bend-or","Custom geodesic home in the heart of Bend","Bend, Oregon","Oregon","West",2,"Airbnb",225,4.89,142,6,3,false,false,false,"https://a0.muscache.com/im/pictures/hosting/Hosting-37815537/original/0d405fad-4e5a-4813-9847-7bbbaf9eb025.jpeg","https://www.airbnb.com/rooms/37815537","A lovingly renovated mid-century geodesic dome minutes from downtown Bend and the Deschutes River. Three bedrooms, soaring dome ceilings, and easy access to world-class mountain biking, skiing, and whitewater."
"A Walk in the Clouds — Blue Ridge A-Frame","north-georgia-aframe-blue-ridge","New A-Frame with mountain views above the Blue Ridge Valley","Blue Ridge, Georgia","Georgia","Southeast",7,"Airbnb",215,4.95,67,4,2,false,false,false,"https://a0.muscache.com/im/pictures/be87cfb0-560f-4ffd-b398-5105ea4e1b04.jpg","https://www.airbnb.com/rooms/719832599115843060","A thoughtfully designed modern A-Frame above the Blue Ridge Valley near Blue Ridge, Georgia — with stunning mountain views, steps from the Toccoa River, and close to North Georgia's vineyards and Appalachian trailheads."
"Blue Ridge River A-Frame","blue-ridge-river-aframe-wv","Riverside A-Frame under West Virginia Blue Ridge skies","Thurmond, West Virginia","West Virginia","Southeast",7,"VRBO",185,4.9,58,4,2,false,false,false,"https://images.trvl-media.com/lodging/83000000/82530000/82526700/82526691/14699410.jpg","https://www.vrbo.com/2871145","A riverside A-Frame in the New River Gorge area of West Virginia under towering Blue Ridge skies — 9 miles from McRitchie Winery and the best whitewater rafting in the East. A hidden gem in one of America's newest national parks."
